CollegeName,State Name
 Atmiya Institute of Technology & Science-(Engineering) (SFI) ,Gujarat
" A. Y. Dadabhai Technical Institute, Kosamba ",Gujarat
" A.V.Parekh Technical Institute,Rajkot",Gujarat
" Atmiya institue of Technology & Science for Diploma Studies Yogi Devine Soc, Rajkot",Gujarat
" B and B Institute of Technology,Vallabh Vidhyanagar - GIA ",Gujarat
" B and B Institute of Technology,Vallabh Vidhyanagar (SFI) ",Gujarat
" Butler Polytechnic, Vadodara",Gujarat
" Bhagvan Mahavir Polytechnic, Surat",Gujarat
" C.U.Shah Polytechnic,Surendranagar ",Gujarat
" Christ Polytechnic Institute, Rajkot",Gujarat
" Dr.J.N.Maheta Government Polytechnic,Amreli ",Gujarat
" Dr.S.& S.S.Gandhi college of Engg. And Technology,Surat ",Gujarat
" Government Girls Polytechnic,Ahmedabad",Gujarat
" Government Girls Polytechnic,Surat. ",Gujarat
 Government Polytechnic Aahva-Dang ,Gujarat
 Government Polytechnic Ahmedabad ,Gujarat
 Government Polytechnic Godhra ,Gujarat
 Government Polytechnic Junagadh ,Gujarat
 Government Polytechnic Rajkot ,Gujarat
" Government Polytechnic,Bhuj",Gujarat
" Government Polytechnic,Chotta Udepur ",Gujarat
" Government Polytechnic,Gandhinagar ",Gujarat
" Government Polytechnic,Himmatnagar ",Gujarat
" Government Polytechnic,Jamnagar",Gujarat
" Government Polytechnic,Palanpur ",Gujarat
" Government Polytechnic,Porbandar ",Gujarat
" Government Polytechnic,Vadnagar ",Gujarat
" Government Polytechnic,Valsad ",Gujarat
" Government Polytechnic,Dahod ",Gujarat
" K.D.Polytechnic,Patan ",Gujarat
" L.J.Polytechnic,Ahmedabad",Gujarat
" Merchant Polytechnic, Visnagar ",Gujarat
" N.G.Patel Polytechnic,Isroli ",Gujarat
" R.C.Technical Institute,Ahmedabad ",Gujarat
" R.H.PATEL INSTI. OF TECHNOLOGY,GOBLAJ,KHEDA",Gujarat
 RMS Polytechnic Waghodiya ,Gujarat
" Sarvodaya Polytechnic Institute, Limbdi ",Gujarat
" B.S.Patel Polytechnic,Mehsana. ",Gujarat
" Shri K.J.Polytechnic,Bharuch ",Gujarat
" Shri N.M.Gopani Polytechnic institute,Ranpur ",Gujarat
 Sigma Institute of Technology & Engg.( Polytechnic) ,Gujarat
" Sir Bhavsinhji Polytechnic Institute, Bhavnagar ",Gujarat
" Swami Sacchidanand Polytechnic college,Visnagar ",Gujarat
" T.F.Gandhidham Polytechnic,Adipur(Kutch) ",Gujarat
" Verdhman Bharti Trust Technical Institute Of Diploma Studies, Wadhwan City ",Gujarat
" Tolani Foundation,Gandhidham Polytechnic(SFI) ",Gujarat
" V.P.M.P. Polytechnic, Gandhinagar ",Gujarat
" Vallabhbudhi polytechnic, Navsari ",Gujarat
